iter	Passed	Remaining
357	12278	2915
358	12309	2880
359	12338	2844
360	12364	2808
361	12392	2772
362	12422	2737
363	12451	2702
364	12478	2666
365	12507	2631
366	12536	2596
367	12560	2559
368	12593	2525
369	12620	2489
370	12650	2455
371	12678	2419
372	12707	2384
373	12733	2349
374	12761	2314
375	12793	2279
376	12820	2244
377	12847	2209
378	12876	2174
379	12918	2141
380	12949	2107
381	12982	2073
382	13015	2039
383	13042	2003
384	13070	1969
385	13099	1934
386	13131	1900
387	13160	1865
388	13198	1832
389	13271	1803
390	13329	1772
391	13379	1740
392	13413	1706
393	13538	1683
394	13657	1659
395	13688	1624
396	13714	1589
397	13741	1553
398	13771	1518
399	13799	1483
400	13824	1447
401	13850	1412
402	13877	1377
403	13904	1342
404	13931	1307
405	13963	1272
406	13991	1237
407	14019	1202
408	14047	1167
409	14076	1133
410	14105	1098
411	14132	1063
412	14160	1028
413	14187	993
414	14218	959
415	14247	924
416	14277	890
417	14306	855
418	14334	821
419	14373	787
420	14413	753
421	14452	719
422	14488	685
423	14521	650
424	14551	616
425	14582	581
426	14615	547
427	14652	513
428	14689	479
429	14724	445
430	14759	410
431	14795	376
432	14831	342
433	14866	308
434	14900	274
435	14940	239
436	14975	205
437	15009	171
438	15046	137
439	15082	102
440	15115	68
441	15147	34
442	15178	0
