iter	Logloss
0	0.6624458531
1	0.6337266493
2	0.6104178241
3	0.5902691907
4	0.5706142293
5	0.5540560853
6	0.5406049551
7	0.527821552
8	0.5171547435
9	0.5080438624
10	0.4999317328
11	0.4924334754
12	0.4862874774
13	0.4807539996
14	0.4753996821
15	0.4707609555
16	0.4660117512
17	0.4619239061
18	0.4579742642
19	0.4553286217
20	0.4520621098
21	0.4489372606
22	0.4468619394
23	0.4438041599
24	0.4415940683
25	0.439484838
26	0.4378228454
27	0.4354881732
28	0.4344653946
29	0.4327368391
30	0.4309635301
31	0.4295759916
32	0.4284588507
33	0.4267607222
34	0.4256497527
35	0.4246698366
36	0.4240227302
37	0.4228259666
38	0.421749171
39	0.4210919517
40	0.4202558059
41	0.4193784989
42	0.4182824968
43	0.4175107461
44	0.4167986144
45	0.4157421971
46	0.4149296107
47	0.4141917264
48	0.4133819983
49	0.4126662268
50	0.412035191
51	0.4114326569
52	0.4108481232
53	0.410201022
54	0.4095270015
55	0.4091114361
56	0.4086371701
57	0.4080712235
58	0.4076543869
59	0.4070628609
60	0.4065855676
61	0.4062746017
62	0.4058072182
63	0.4053674231
64	0.4047644202
65	0.4041435278
66	0.4035446191
67	0.4030550295
68	0.402632047
69	0.4022582457
70	0.4019081339
71	0.4014851682
72	0.4011272787
73	0.4008228533
74	0.4002936346
75	0.4000104489
76	0.3997743067
77	0.3994711812
78	0.3989178667
79	0.3985555281
80	0.3981815045
81	0.3978652966
82	0.3975832743
83	0.3972252904
84	0.3969374437
85	0.396560979
86	0.3962910281
87	0.3959038292
88	0.3955123614
89	0.3952114775
90	0.3948072367
91	0.3944966876
92	0.394086091
93	0.3939050853
94	0.3936526379
95	0.3934394886
96	0.3930672294
97	0.392707894
98	0.3924877385
99	0.3921906675
100	0.3919997383
101	0.3917315209
102	0.3916175088
103	0.3914072631
104	0.3911723976
105	0.3909075526
106	0.3903943179
107	0.390085405
108	0.3898520494
109	0.3896284618
110	0.3893160341
111	0.3890558918
112	0.3887364902
113	0.388558404
114	0.3883597959
115	0.3881404047
116	0.3879315635
117	0.3876428234
118	0.3875162695
119	0.3873569224
120	0.3870590319
121	0.3867240957
122	0.3864491331
123	0.3863386373
124	0.3860339864
125	0.3858230731
126	0.3857420323
127	0.3854554579
128	0.3852791657
129	0.3850681436
130	0.3848391286
131	0.3846578216
132	0.3844795681
133	0.3842380963
134	0.3840142209
135	0.3838008018
136	0.3835251135
137	0.3832491487
138	0.3830410973
139	0.3828860651
140	0.3826645742
141	0.3823867515
142	0.3822231176
143	0.3819023061
144	0.381763531
145	0.3815829852
146	0.3814645019
147	0.3813687429
148	0.3811987357
149	0.3811211733
150	0.3809180725
151	0.380724182
152	0.3805699968
153	0.3801925043
154	0.3800007622
155	0.3797450041
156	0.3795130751
157	0.3793271255
158	0.3791618943
159	0.378933167
160	0.3786805778
161	0.378578476
162	0.3783846519
163	0.3782830746
164	0.378144573
165	0.3779489519
166	0.3777603222
167	0.3775215078
168	0.3773683211
169	0.3772906266
