iter	Logloss
170	0.3770172376
171	0.3768581767
172	0.3765932392
173	0.3762965946
174	0.3760967855
175	0.3758783822
176	0.3756999466
177	0.3755344314
178	0.3753895852
179	0.3752590496
180	0.3750517279
181	0.3749351554
182	0.3746978386
183	0.3744554137
184	0.374240865
185	0.3740136307
186	0.3737461442
187	0.3736149083
188	0.3734325934
189	0.3732283126
190	0.3731035116
191	0.3729432031
192	0.3725991295
193	0.3722867679
194	0.3722058743
195	0.3720174325
196	0.3717580378
197	0.3715141235
198	0.3712894184
199	0.3710327232
200	0.3708925579
201	0.3706081859
202	0.370475606
203	0.3703405018
204	0.370087924
205	0.3699682284
206	0.3697670823
207	0.3696933165
208	0.3694707359
209	0.3693510818
210	0.3689842803
211	0.3687288624
212	0.368466733
213	0.3682858037
214	0.3680639481
215	0.3679122135
216	0.3676931191
217	0.3675029336
218	0.3673429148
219	0.3670787366
220	0.3668737574
221	0.3666230177
222	0.3663665707
223	0.366175041
224	0.3660465318
225	0.3658581889
226	0.3655493744
227	0.3654812347
228	0.3653050279
229	0.3650548732
230	0.3649558634
231	0.3647864326
232	0.3646349717
233	0.3643719196
234	0.3641850275
235	0.3638903108
236	0.363692628
237	0.3635517606
238	0.3633795762
239	0.3631504228
240	0.3629822461
241	0.3629677455
242	0.3626939943
243	0.362491013
244	0.3624678882
245	0.3621506782
246	0.3620073776
247	0.3618396363
248	0.3618307727
249	0.3615995927
250	0.361392919
251	0.3611456344
252	0.3609030572
253	0.3606136548
254	0.3604190317
255	0.3601759304
256	0.3599283381
257	0.3596193053
258	0.3593936824
259	0.3591780391
260	0.3589781807
261	0.358775781
262	0.3585562018
263	0.3582871888
264	0.3582787075
265	0.3580651428
266	0.3576732194
267	0.3574570207
268	0.3572964409
269	0.3571095272
270	0.3571016281
271	0.3568098916
272	0.3568035348
273	0.3566634367
274	0.3563974801
275	0.3563907233
276	0.3562107362
277	0.3560101632
278	0.355833954
279	0.3556269282
280	0.3554886985
281	0.3553404246
282	0.3551889881
283	0.3551043914
284	0.3549177856
285	0.3547445167
286	0.3544596744
287	0.3542819412
288	0.3542377056
289	0.3540174851
290	0.353808894
291	0.3536566262
292	0.3534674784
293	0.3532977132
294	0.3530587076
295	0.3528517639
296	0.3526467417
297	0.3524872681
298	0.3523515465
299	0.3521861077
300	0.3520030187
301	0.3518718222
302	0.3517197877
303	0.3515187012
304	0.3512221817
305	0.3508643715
306	0.3506969113
307	0.3505439822
308	0.3502813681
309	0.3502754864
310	0.3500377517
311	0.3498430596
312	0.3496469398
313	0.3494564969
314	0.3494501039
315	0.3492518139
316	0.3492467815
317	0.3490398944
318	0.3488643444
319	0.3486919056
320	0.3486862091
321	0.3485377805
322	0.3483928827
323	0.3482525342
324	0.3480790438
325	0.3478893561
326	0.34774131
327	0.3475431129
328	0.347432286
329	0.3471871503
330	0.3469640754
331	0.3468416407
332	0.3466128053
333	0.3465966024
334	0.3464512365
335	0.3463598081
336	0.3461656315
337	0.3460209537
338	0.3457717422
339	0.3457636968
340	0.3455251551
341	0.3454112679
342	0.3454016594
343	0.3451554606
344	0.345134271
345	0.3448870231
346	0.3446331867
347	0.3444207868
348	0.3441210587
349	0.3437936727
350	0.3436235825
351	0.3434600414
352	0.3434547766
353	0.3433340503
354	0.3431079795
355	0.3429011519
356	0.3426957276
357	0.3425071414
358	0.3422826161
359	0.3419777161
360	0.3419722293
361	0.3417994098
362	0.3416499138
363	0.3416447611
364	0.3413365697
365	0.3411838763
366	0.3408934269
367	0.3408864586
368	0.3407334676
369	0.3405602207
370	0.340372615
371	0.3401973908
372	0.3399403046
373	0.3398165871
374	0.3396705236
375	0.3394958699
376	0.3393532691
377	0.3391143585
378	0.3389418176
379	0.3387774842
380	0.3385912126
381	0.3383877432
382	0.3382406073
383	0.3381460841
384	0.3381177292
385	0.3379816593
386	0.3377452521
387	0.3375647524
388	0.337385256
389	0.3373715976
390	0.3372113966
391	0.3370941496
392	0.3369328085
393	0.3366799496
394	0.3365502861
395	0.3363480252
396	0.3363443759
397	0.3361683123
398	0.3359760454
399	0.3358187656
400	0.3357966055
401	0.3357212638
402	0.3355549171
403	0.3355511106
404	0.3353622537
405	0.3351336965
406	0.3351303826
407	0.3349659074
408	0.3348282714
409	0.3346533889
410	0.3346501542
411	0.3343958484
412	0.3341804063
413	0.3341770555
414	0.334108699
415	0.3339437993
416	0.3337464432
417	0.3336062967
418	0.3335002121
419	0.3332660383
420	0.3330176196
421	0.3330038677
422	0.3328020312
423	0.332691922
424	0.3325553397
425	0.3323361872
426	0.3320967109
427	0.332016432
428	0.3318117396
429	0.3318085444
430	0.3316973687
431	0.3315808542
432	0.3314323262
433	0.3311389245
434	0.3309232993
435	0.3307296999
436	0.3304754505
437	0.3303044971
438	0.3301040705
439	0.3300064844
440	0.3298855449
441	0.3297055021
442	0.3295540182
